_aberration|aberration|sapma
abject|abject|sefil
abrogate|abrogate|iptal etmek
abstemious|abstemious|nefsine hakim
abstruse|abstruse|anlaşılması güç
accede|accede|razı olmak
accolade|accolade|övgü
acerbic|acerbic|sert (dil/tavır)
acquiesce|acquiesce|boyun eğmek
acrimonious|acrimonious|hırçın
acumen|acumen|sezgi
adroit|adroit|becerikli
adulation|adulation|aşırı övgü
adulterate|adulterate|kalitesini bozmak
aesthetic|aesthetic|estetik
affable|affable|cana yakın
affinity|affinity|benzerlik/yakınlık
aggrandize|aggrandize|yüceltmek
alacrity|alacrity|çabukluk/isteklilik
alias|alias|takma ad
allay|allay|yatıştırmak
alleviate|alleviate|hafifletmek
aloof|aloof|mesafeli
altruism|altruism|özgecilik
amalgamate|amalgamate|birleştirmek
ambiguous|ambiguous|belirsiz
ambivalent|ambivalent|çelişkili duyguları olan
ameliorate|ameliorate|iyileştirmek
amenable|amenable|uygun/uysal
amorphous|amorphous|biçimsiz
anachronism|anachronism|zaman aşımı
analogous|analogous|paralel/benzer
anarchy|anarchy|anarşi
anathema|anathema|lanetli şey
ancillary|ancillary|yardımcı
animosity|animosity|düşmanlık
anomaly|anomaly|anomali
antediluvian|antediluvian|Nuh Tufanı öncesi/çok eski
antipathy|antipathy|nefret
antithesis|antithesis|antitez
aplomb|aplomb|özgüven
apocryphal|apocryphal|uydurma
apogee|apogee|zirve
apostate|apostate|dinden dönen/dönek
apotheosis|apotheosis|tanrılaştırma/ideal örnek
apposite|apposite|yerinde/uygun
apprise|apprise|bilgilendirmek
approbation|approbation|onay
appropriate|appropriate|el koymak/uygun
arcane|arcane|gizemli/esrarengiz
archetype|archetype|arkotip/ilk örnek
ardent|ardent|ateşli/tutkulu
arduous|arduous|zahmetli/güç
artless|artless|saf/doğal
ascetic|ascetic|çileci
asperity|asperity|sertlik/huysuzluk
aspersion|aspersion|iftira
assiduous|assiduous|gayretli/titiz
assuage|assuage|yatıştırmak
astute|astute|akıllı/uyanık
atavism|atavism|atadan kalma özellik/hortlama
atrophy|atrophy|körelmek/zayıflamak
attenuate|attenuate|zayıflatmak/inceltmek
audacious|audacious|cüretkar/küstah
augment|augment|artırmak/çoğaltmak
augury|augury|kehanet/belirti
august|august|saygın/heybetli
austere|austere|sert/sade/mütevazı
autonomous|autonomous|özerk/bağımsız
avarice|avarice|açgözlülük
aver|aver|iddia etmek/doğrulamak
avocation|avocation|hobi/ek iş
avuncular|avuncular|amca/dayı gibi/babacan
axiom|axiom|aksiyom/belit
bacchanalian|bacchanalian|içkili eğlenceye dair
banal|banal|sıradan/basit
banter|banter|şakalaşmak
baroque|baroque|barok/aşırı süslü
beleaguer|beleaguer|kuşatmak/darlamak
belie|belie|yanıltmak/yalanlamak
bellicose|bellicose|kavgacı/savaşçıl
belligerent|belligerent|saldırgan/çatışan
beneficent|beneficent|hayırsever/faydalı
benign|benign|iyi huylu/zararsız
berate|berate|azarlamak
bereft|bereft|mahrum/yoksun
blandishment|blandishment|tatlı sözle kandırma
blase|blase|hayattan bıkmış/kanıksamış
bolster|bolster|desteklemek
bombastic|bombastic|şatafatlı (dil)
boorish|boorish|kaba/yontulmamış
bovine|bovine|inek gibi/hantal/donuk
brazen|brazen|yüzsüz/arsız
broach|broach|konuyu açmak
bucolic|bucolic|pastoral/kırsal
burgeon|burgeon|filizlenmek/hızla gelişmek
burnish|burnish|parlatmak
buttress|buttress|desteklemek/payanda
cacophonous|cacophonous|ahenksiz/kulak tırmalayan
cadge|cadge|otlanmak/bedavaya getirmek
cajole|cajole|tatlı dille ikna etmek
calumny|calumny|iftira
canard|canard|asparagas haber
canon|canon|kanon/kural/standart
cant|cant|samimiyetsiz dindar konuşma/argolu dil
cantankerous|cantankerous|huysuz/aksi
capricious|capricious|maymun iştahlı/değişken
captious|captious|kusur bulan/titiz
carnal|carnal|bedensel/şehvani
castigate|castigate|cezalandırmak/şiddetle eleştirmek
catalyst|catalyst|katalizör
categorical|categorical|kesin/şüphe götürmez
catharsis|catharsis|katarsis/arınma
caustic|caustic|yakıcı/iğneleyici
celestial|celestial|göksel
censure|censure|kınama/eleştiri
centrifugal|centrifugal|merkezkaç
centripetal|centripetal|merkezcil
chagrin|chagrin|hüsran/hayal kırıklığı
charlatan|charlatan|şarlatan/yalancı
chary|chary|ihtiyatlı/çekingen
chasten|chasten|terbiye etmek/had bildirmek
chauvinism|chauvinism|şovenizm/aşırı milliyetçilik
chicanery|chicanery|hile/düzenbazlık
chimerical|chimerical|hayali/kuruntu
choleric|choleric|öfkeli/asabi
churlish|churlish|kaba/nezaketsiz
circuitous|circuitous|dolaylı/uzun (yol)
clandestine|clandestine|gizli/saklı
cloying|cloying|iç bayıltıcı (tatlılık)
coalesce|coalesce|birleşmek
coda|coda|koda/sonuç bölümü
cogent|cogent|ikna edici/mantıklı
collusion|collusion|gizli anlaşma/danışıklı dövüş
commensurate|commensurate|orantılı
compendium|compendium|özet/katalog
complaisant|complaisant|nazik/uyumlu
compunction|compunction|pişmanlık/vicdan azabı
conciliate|conciliate|gönlünü almak/barıştırmak
concomitant|concomitant|beraberinde gelen/eşlik eden
condone|condone|göz yummak/affetmek
connoisseur|connoisseur|eksper/uzman (sanat/tat)
connote|connote|çağrıştırmak
conspicuous|conspicuous|göze çarpan/belirgin
contumacious|contumacious|asi/dik başlı
conundrum|conundrum|bilmece/çözülmesi zor sorun
conversant|conversant|aşina/bilgili
convivial|convivial|şen şakrak/sosyal
convoluted|convoluted|karmaşık/dolanbaçlı
copious|copious|bol/çok miktarda
artificial_intelligence|artificial intelligence|yapay zeka
machine_learning|machine learning|makine öğrenmesi
deep_learning|deep learning|derin öğrenme
neural_network|neural network|sinir ağı
